property_name,property_price,property_location,property_bedrooms,property_bathrooms,property_size,real_estate_agent
,"KSh 21,000,000",Vipingo,4,,,Benford Homes
,"KSh 13,500,000","Kanamai, Majengo, Kikambala",2,,2700 m²,Sky Miles Properties
,"KSh 165,000,000","Lower Kabete, Westlands",5,,625 m²,Glo Realtors
,"KSh 116,000,000","Windy Ridge, Karen",4,,550 m²,Glo Realtors
,"KSh 225,000,000","Thigiri, Westlands",5,,,Jubilee Real Estate
,"KSh 65,000,000",Lavington,5,,450 m²,Splendor Holdings
,"KSh 90,000,000",Karen,4,,,Newpoint Properties
,"KSh 8,000,000",Changamwe,4,,,Furaha Properties
,"KSh 55,000,000","Kilifi Creek, Kilifi",5,,2 ac,Knight Frank Kenya
,"KSh 69,000,000","Lolldaiga, Nanyuki",4,,50 ac,Knight Frank Kenya
,"KSh 19,250,000",Kiambu Road,2,,,
,"KSh 88,000,000","Bogani Park, Karen",4,,42 m²,Crystal Valuers LTD
,"KSh 16,500,000",Bamburi,4,,,Benford Homes
,"KSh 98,000,000","Lower Kabete, Westlands",7,,,Coral Property International Ltd
,"KSh 330,000,000","Kaputei road, Lavington",5,,,Hanspace Limited
,"KSh 6,500,000",Kitengela,3,,,Vector Afriq Properties Ltd
,"KSh 150,000,000","Kizingo, Mombasa Island",5,,,Furaha Properties
,"KSh 118,000,000",Lavington,5,,,Villawatch Limited
,"KSh 100,000,000","Runda panafric, Runda, Westlands",6,,,Fab Real Estate
,"KSh 26,500,000","Olkeri, Ngong",4,,,DOMINA HOMES
,"KSh 90,000,000","Runda, Westlands",7,,,Coral Property International Ltd
,"KSh 70,000,000","Off links road, Nyali Area, Nyali",5,,,Ogaye Enterprises
,"KSh 23,000,000","Membley Estate, Membley, Ruiru",4,,320 m²,Jayhenrys Holdings Limited
,"KSh 6,000,000","Acassia, Acassia Estate, Kitengela",4,,115 m²,
,"KSh 88,000,000","Convent Drive, Lavington",6,,6100 ft²,Triple Ell Property Ltd
,"KSh 27,000,000","Nyali Area, Nyali",4,,,Mombasa Real Estate Agencies Ltd
,"KSh 110,000,000","Hillview Estate, Hill View, Westlands",4,,,Simkar Group Limited
,"KSh 45,000,000","Loresho, Westlands",4,,,Citiscape Valuers & Estate Agents Ltd
,"KSh 67,000,000","Karen fair acres, Karen",5,,540 m²,Mapema Properties
,"KSh 29,700,000","Kiambu Road, Five Star Paradise",3,,,Coral Property International Ltd
,"KSh 45,000,000","Mtwapa, Jumba Ruins",3,,2210 m²,Sky Miles Properties
,"KSh 19,000,000",Syokimau,4,,464 m²,Litana Investments
,"KSh 9,250,000","Greater Eastern bypass, Joska, Kamulu Joska Malaa",3,,,Nairobi and Beyond Realty
,"KSh 85,000,000",Kikambala,4,,,Furaha Properties
,"KSh 12,000,000",Ruiru,4,,2400 ft²,Litana Investments
,"KSh 88,000,000",Lavington,5,,,Eden Heights Realty
,"KSh 14,500,000","Milimani View, Ngong, Kibiko Road",4,,,
,"KSh 73,000,000",Lavington,5,,,Villawatch Limited
,"KSh 88,000,000","Nandi Road, Karen",5,,,Knight Frank Kenya
,"KSh 38,500,000","Nairobi, Mlolongo",4,,,Coral Property International Ltd
,"KSh 250,000,000","Runda, Westlands",6,,,
,"KSh 30,000,000","Old Nyali, Nyali Area, Nyali",3,,,Furaha Properties
,"KSh 65,000,000",Karen,5,,,Leilach Properties
,"KSh 75,000,000",Karen,6,,,Tiki Properties
,"KSh 110,000,000",Lavington,6,,,Leti Realty Limited
,"KSh 65,000,000","Parklands, Westlands",5,,,Pam Golding Properties
,"KSh 25,000,000",Kitengela,5,,3500 ft²,Leilach Properties
